,cue,target,objectSentence,objectImage,trialType,isMatch,trialList,trialIndex,shapesentence,shapeImage,shapeSentence
69,There was a yard by the kindergarten.,penguin,yard,penguin,filler,NA,3,70,,NA,NA
70,There was a skateboard on the ground.,bus,skateboard,bus,filler,NA,3,71,,NA,NA
71,There was a pencil in the cup.,hairdryer,pencil,hairdryer,filler,NA,3,72,,NA,NA
72,There was a polar bear in the snow.,truck,polar bear,track,filler,NA,3,73,,NA,NA
73,There was a calculator on the desk.,comb,calculator,comb,filler,NA,3,74,,NA,NA
74,There was a statue in the park.,button,statue,button,filler,NA,3,75,,NA,NA
75,There was a kayak in the river.,lamppost,kayak,lamppost,filler,NA,3,76,,NA,NA
76,There was a lipstick in the purse.,castle,lipstick,castle,filler,NA,3,77,,NA,NA
77,There was fire on campus.,papaya,fire,papaya,filler,NA,3,78,,NA,NA
78,There was a pepper in the pastry.,padlock,pepper,padlock,filler,NA,3,79,,NA,NA
79,There was a hammer in the basement.,cow,hammer,cow,filler,NA,3,80,,NA,NA
80,There was a mannequin in the shop.,axe,mannequin,axe,filler,NA,3,81,,NA,NA
81,There was an ornament on the skirt.,eraser,ornament,eraser,filler,NA,3,82,,NA,NA
82,There was a thumbtack on the board.,mango,thumbtack,mango,filler,NA,3,83,,NA,NA
83,There was a surfboard in the river.,cookinggrill,surfboard,cookinggrill,filler,NA,3,84,,NA,NA
84,There was a cactus in the pot.,closet,cactus,closet,filler,NA,3,85,,NA,NA
85,There was a chair in the bedroom.,cauliflower,chair,cauliflower,filler,NA,3,86,,NA,NA
86,There was a blueberry in the cereal.,cushion,blueberry,cushion,filler,NA,3,87,,NA,NA
87,There was a pot on the stove.,rose,pot,rose,filler,NA,3,88,,NA,NA
88,There was a snake in the grass.,plunger,snake,plunger,filler,NA,3,89,,NA,NA
89,There was raddish in the dish.,qtip,raddish,qtip,filler,NA,3,90,,NA,NA
90,There was football in the stadium.,apartment,football,apartment,filler,NA,3,91,,NA,NA
91,There was a wrench in the toolbox.,tambourine,wrench,tambourine,filler,NA,3,92,,NA,NA
92,There was a goat in the distance.,dandelion,goat,dandelion,filler,NA,3,93,,NA,NA
93,There was chimney on the roof.,fountain,chimney,fountain,filler,NA,3,94,,NA,NA
94,There was a mug on the coaster.,grater,mug,grater,filler,NA,3,95,,NA,NA
95,There was a bicycle in the driveway.,acorn,bicycle,acorn,filler,NA,3,96,,NA,NA
96,There was a pyramid by the museum.,couch,pyramid,couch,filler,NA,3,97,,NA,NA
97,There was milk in the jar.,strawberry,milk,strawberry,filler,NA,3,98,,NA,NA
98,There was a plug by the door.,bat,plug,bat,filler,NA,3,99,,NA,NA
99,There was a carriage on the highway.,orange,carriage,orange,filler,NA,3,100,,NA,NA
100,There was salt on the table.,shed,salt,shed,filler,NA,3,101,,NA,NA
101,There was a cork in the bottle.,clock,cork,clock,filler,NA,3,102,,NA,NA
102,There was a flower in the vase.,squeegee,flower,squeegee,filler,NA,3,103,,NA,NA
103,There was a deck in the boardgame.,church,deck,church,filler,NA,3,104,,NA,NA
104,There was a whistle in the gym.,safetypin,whistle,safetypin,filler,NA,3,105,,NA,NA
105,There was a hippo in the zoo.,crane,hippo,crane,filler,NA,3,106,,NA,NA
106,There was a mouse in the trap.,wateringcan,mouse,wateringcan,filler,NA,3,107,,NA,NA
107,There was a cap on the head.,car,cap,car,filler,NA,3,108,,NA,NA
108,There was a chessboard in the classroom.,bridge,chessboard,bridge,filler,NA,3,109,,NA,NA
109,There was a kettle in the kitchen.,measuringtape,kettle,measuringtape,filler,NA,3,110,,NA,NA
110,There was a blanket in the armchair.,pan,blanket,pan,filler,NA,3,111,,NA,NA
111,There was a mayonnaise in the sandwich.,tweezers,mayonnaise,tweezers,filler,NA,3,112,,NA,NA
112,There was a head on the neck.,pinecone,head,pinecone,filler,NA,3,113,,NA,NA
113,There was a skier in the mountain.,mangocut,skier,mangocut,filler,NA,3,114,,NA,NA
114,There was a lounge in the garden.,racquetballracket,lounge,racquetballracket,filler,NA,3,115,,NA,NA
115,There was a seal in the cove.,brush,seal,brush,filler,NA,3,116,,NA,NA
116,There was a pitcher in the bar.,spraycan,pitcher,spraycan,filler,NA,3,117,,NA,NA
117,There was a dart in his hand.,cheesslice,dart,cheesslice,filler,NA,3,118,,NA,NA
118,There was a guitar on the stage.,candle,guitar,candle,filler,NA,3,119,,NA,NA
119,There was a cottage in the valley.,candy,,candy,filler,NA,3,120,,NA,NA
